"NOMBRE";"SEXO";"AÑO DE NACIMIENTO";"G PARLAMENTARIO";"ECIVIL";"NIVEL ACADEMICO";"ORIGEN";"ESCAÑO";"NAINE";"CARGO";"Campo11";"Campo12";"Campo13";"Campo14";"Campo15";"Campo16";"Campo17";"Campo18";"Campo19"
"Ana, Marcello Santos";"Mujer";1984,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Soltera";"Licenciada en Trabajo Social. Atención a la dependencia. ";"León";;;"Diputada. Vocal Suplente de la Diputación Permanente.Portavoz de la Comisión de Sanidad, Consumo y Bienestar Social desde el 21/06/2018 al 05/03/2019,";;;;;;;;;
"María Dolores, Marcos Moyano";"Mujer";1957,00;"Grupo Popular";"Casada";"No consta";"Cáceres";;;"Diputada. Primer Teniente Alcalde de Plasencia. Portavoz adjunta de la Comisión de Sanidad, Consumo y Bienestar Social desde el 21/06/2018 al 05/03/2019.";;;;;;;;;
"José Vicente, Marí Bosó";"Hombre";1970,00;"Grupo Popular";"Casado";"Licenciado en Derecho. Auditor de Cuentas. ";"Islas Baleares";;;"Diputado. Presidente del Partido Popular de Ibiza. Vicepresidente Segundo de la Comisión de Presupuestos desde el 13/09/2016 al 05/03/2019.";;;;;;;;;
"Guillermo, Mariscal Anaya";"Hombre";1974,00;"Grupo Popular";"Soltero";"Licenciado en Derecho. ";"Las Palmas";;;"Diputado. Vocal Suplente de la Diputación Permanente. Miembro Suplente de la Delegación española en la Asamblea Parlamentaria de la OTAN.";;;;;;;;;
"Lucía, Martín González";"Mujer";1979,00;"Grupo Confederal de Unidos Podemos-En Comú Podem-En Marea (GCUP-EC-EM)  ";"Soltera";"Ingeniera Química. Doctora en Ciencias Ambientales.";"Barcelona";;;"Diputada. Activista por el derecho a la vivienda. Vocal de la Diputación Permanente. Vicepresidenta Segunda de la Comisión de Política Territorial y Función Pública desde el 27/06/2018 al 05/03/2019.";;;;;;;;;
"María Guadalupe, Martín González";"Mujer";1960,00;"Grupo Socialista";"Casada";"Licenciada en Medicina y Cirugía. Médico de Atención Primaria.";"Toledo";;;"Diputada. Ejecutiva Provincial PSOE-Toledo. Secretaria Primera de la Comisión de Sanidad, Consumo y Bienestar Social desde el 21/06/2018 al 05/03/2019.";;;;;;;;;
"Marta, Martín Llaguno";"Mujer";1972,00;"Grupo Ciudadanos";"Divorciada";"Licenciada en Ciencias de la Información por la Universidad de Navarra. Doctora en Ciencias de la Información (Universidad de Navarra). Catedrática de Comunicación Audiovisual y Publicidad (Universidad de Alicante).";"Alicante";;;"Diputada. Portavoz de la Comisión de Ciencia, Innovación y Universidades desde el 27/06/2018 al 05/03/2019.";;;;;;;;;
"José Alberto, Martín-Toledano Suárez";"Hombre";1963,00;"Grupo Popular";"Casado";"Licenciado en Derecho por el CEU San Pablo de Madrid.";"Ciudad Real";;;"Diputado. Miembro de las Comisiones de Reglamento, Hacienda y Administraciones Públicas. De Calidad Democrática, Lucha contra la Corrupción y Reformas Institucionales y de Interior. Portavoz. Presidente de la Delegación española en el Grupo de Control Par";;;;;;;;;
"Jose Luis, Martínez González";"Hombre";1964,00;"Grupo Ciudadanos";"Casado";"Licenciado en Geografía e Historia. Especialidad en Geografía por la Universidad de Murcia. ";"Murcia";;;"Diputado. Coordinador de Ciudadanos en Águilas.Portavoz de la Comisión de Industria, Comercio y Turismo desde el 21/06/2018 al 05/03/2019.";;;;;;;;;
"Isidro Manuel, Martínez Oblanca";"Hombre";1956,00;"Grupo Mixto Foro";"Casado";"Diplomado en Enfermería.";"Asturias";;;"Diputado. Trabajador del Hospital de la Cruz Roja de Gijón. Trabajador de ASEPEYO, Mutua de Accidentes de Trabajo. Cofundador de Foro de Ciudadanos - Foro Asturias (FAC). Vocal Suplente de la Diputación Permanente. ";;;;;;;;;
"María Luz, Martínez Seijo";"Mujer";1968,00;"Grupo Socialista";"Casada";"Licenciada en Filología Inglesa y Doctora en Planificación e Innovación Educativa. Profesora funcionaria de Inglés de Educación Secundaria. ";"Palencia";;;"Diputada. Secretaria de Acción Política y Ciudadanía del PSOE de Castilla y León. Directora de un Centro de Formación del Profesorado. Vocal de la Diputación Permanente. Portavoz de la Comisión de Educación y Formación Profesional desde el 21/06/2018 al 0";;;;;;;;;
"Francisco, Martínez Vázquez";"Hombre";1975,00;"Grupo Popular";"Casado";"Licenciado en Derecho. Licenciado en Ciencias Económicas y Empresariales. Letrado de las Cortes Generales. ";"Madrid";;;"Diputado. Director del Gabinete del Ministro del Interior. Secretario de Estado de Seguridad.Vocal Suplente de la Diputación Permanente.";;;;;;;;;
"Fernando, Martínez-Maíllo Toribio";"Hombre";1969,00;"Grupo Popular";"Casado";"Licenciado en Derecho. ";"Zamora";;;"Diputado. Coordinador General del PP. Vocal de la Diputación Permanente.";;;;;;;;;
"Juan José, Matarí Sáez";"Hombre";1959,00;"Grupo Popular";"Casado";"Licenciado en Derecho.";"Almería";;;"Diputado. Miembro del Comité Ejecutivo Nacional del Partido Popular. Vocal Suplente de la Diputación Permanente. Miembro Titular de la Delegación española en la Asamblea Parlamentaria del Consejo de Europa. Vicepresidente Segundo de la Comisión de Investi";;;;;;;;;
"Jaime Miguel, Mateu Istúriz";"Hombre";1957,00;"Grupo Popular";"Casado";"Diplomado en Altos estudios de la Defensa.(CESEDEN). Inglés.";"Burgos";;;"Diputado. Inspector de Hacienda del Estado. Miembro del Instituto de Censores Jurados de Cuentas.";;;;;;;;;
"Oskar, Matute García de Jalón";"Hombre";1972,00;"Grupo Mixto Bildu";"Pareja de hecho";"Cursando estudios de empresariales. ";"Bizkaia";;;"Diputado.Portavoz de la Comisión de Educación y Formación Profesional desde el 21/06/2018 al 05/03/2019.";;;;;;;;;
